"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"C6,C10,C9,C3,C8,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"0.1uF";;;
2;"R6,R1,R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
3;"C4,C11,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
4;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
5;"Q3,Q2,Q1,Q4";"SOT-23";4;"MMBT3904";;;
6;"R15,R12,R9,R14,R13,R4,R16,R10,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"330";;;
7;"R17,R20,R18,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
8;"U2";"CA56-12EWA";1;"CC56-12EWA";;;
9;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.3k";;;
10;"R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
11;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"CH340N";;;
12;"J3";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_16P";;;
13;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
14;"C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22pF";;;
15;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
16;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32G030C8Tx";;;
17;"U5";"SOT-23";1;"TL431DBZ";;;
18;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"Crystal";;;
